DYAD,agree,point_ag,enjoyable,stressful,comfortable,difficult,judged,future,value,agree diff,valid,convincing,respect,emotion,logic,like,willing,impact
13,1,0,7,1,7,1,7,7,7,1,7,6,6,1,7,7,7,2
13,1,0,7,2,7,7,3,7,6,2,7,7,7,1,7,7,7,6
18,1,4,7,1,7,1,1,7,7,1,7,7,7,1,7,7,7,7
18,1,4,5,2,6,4,2,6,6,4,5,3,6,4,4,5,5,3
24,1,4,6,1,7,1,1,7,7,2,7,5,7,1,6,6,6,5
24,1,4,7,1,7,1,1,7,7,2,5,3,7,4,5,5,7,3
25,0,-999,6,2,3,6,1,7,7,3,7,6,7,4,7,4,7,4
25,0,-999,7,1,6,1,1,7,7,6,6,5,7,6,4,5,7,4
29,0,-999,7,5,3,5,2,5,6,3,6,3,6,3,6,7,7,2
29,0,-999,6,3,6,2,5,7,7,7,5,2,5,6,4,6,7,1
37,1,9,1,2,7,2,1,7,6,1,7,7,7,4,6,6,6,5
37,1,8,7,7,7,1,1,7,7,1,6,6,6,3,6,7,7,4
42,1,8,6,2,6,2,2,6,6,2,6,6,6,5,6,6,6,6
42,1,8,7,2,6,1,2,6,6,1,7,5,5,2,5,6,6,5
48,0,-999,7,1,7,1,1,7,7,7,7,7,7,1,7,7,7,7
48,0,-999,6,2,7,2,1,5,7,4,5,4,7,6,3,4,6,4
53,1,4,7,2,7,1,2,6,6,2,7,6,7,5,7,6,6,6
53,1,4,6,2,6,1,1,7,7,1,6,5,6,3,6,7,7,5
55,1,5,7,7,6,7,1,7,7,3,5,3,6,6,5,7,7,2
55,1,5,7,3,7,7,1,7,6,7,1,5,7,7,1,5,7,3
67,1,7,6,1,7,2,1,7,5,1,5,3,7,5,4,6,6,2
67,1,7,4,2,6,2,4,6,6,2,7,4,7,5,5,4,5,1
56,1,1,7,7,7,1,1,7,7,1,7,7,7,1,7,7,7,6
56,1,2,7,1,1,1,1,7,5,7,7,5,7,1,7,7,7,5
72,1,6,7,1,7,1,1,7,7,1,7,7,7,4,7,7,7,3
72,1,6,7,1,7,1,1,7,7,1,7,7,7,4,7,7,7,7
87,1,5,6,2,5,1,2,7,7,2,6,6,7,4,5,5,5,6
87,1,5,6,5,7,5,3,7,7,2,6,6,7,4,5,6,6,5
90,1,10,7,1,7,1,1,7,7,1,7,7,7,4,7,7,7,7
90,1,10,7,1,7,1,1,7,7,1,7,7,7,5,6,6,7,7
92,1,7,7,1,7,1,1,7,7,1,7,7,7,5,7,7,7,7
